YR,num_trawls,dates
1982,907,6; 2; 3; 7
1983,1396,3; 8; 4; 6; 7; 10; 11
1984,1596,6; 7; 3; 4; 5; 10; 11; 8
1985,1239,3; 4; 12; 6; 7; 10; 11; 8; 9
1986,752,11; 6; 10; 5; 7; 12
1987,1249,6; 11; 7; 10; 12; 4; 5; 9
1988,1303,6; 11; 12; 10; 7; 3
1989,1075,10; 11; 12; 6; 7; 3; 4
1990,927,6; 11; 12; 5; 7; 8; 10; 4
1991,911,6; 10; 11; 3; 4; 7; 9; 12
1992,842,5; 11; 7; 9; 6; 10; 3; 12
1993,979,8; 9; 6; 10; 11; 7; 5; 3; 12
1994,965,11; 6; 10; 5; 9; 12; 3; 7; 8
1995,790,9; 6; 11; 12; 8; 7; 10; 3
1996,996,10; 7; 8; 6; 11; 9; 1; 12
1997,772,6; 7; 8; 11; 10; 12
1998,694,11; 10; 6; 7; 9
1999,1013,6; 11; 12; 10; 7; 1; 8
2000,797,6; 11; 10; 7; 12
2001,724,7; 6; 10; 11; 12
2002,800,10; 11; 6; 9; 7; 12; 4; 5; 2; 3
2003,723,10; 11; 6; 7; 9; 12
2004,741,11; 12; 10; 6; 7; 2; 3
2005,730,6; 11; 7; 10; 8; 5; 2; 4
2006,844,6; 7; 11; 10; 12; 4; 5; 8
2007,735,6; 12; 10; 4; 5; 11; 7; 8
2008,936,11; 6; 4; 9; 7; 8; 5; 10
2009,1336,2; 1; 3; 6; 9; 11; 7; 8; 10; 4; 5
2010,1038,2; 4; 6; 9; 11; 5; 8; 10; 7
2011,792,6; 11; 4; 2; 10; 7
2012,787,6; 10; 11; 7; 5
2013,660,11; 10; 7; 6; 12
2014,841,10; 6; 11; 7
2015,715,10; 11; 6; 5; 7
2016,544,6; 5; 10; 7; 11
2017,632,5; 6; 11; 10; 7
2018,588,6; 10; 7; 11
2019,597,6; 7; 10; 11
2020,243,12; 10; 11
2021,488,6; 10; 11; 7
2022,458,6; 10; 7; 8; 11
2023,149,6; 11
