year,# of trawls,months
1983,381,8; 6; 7
1984,291,6; 7; 8
1985,404,6; 7; 8
1986,270,6; 7
1987,652,6; 7
1988,542,6; 7
1989,389,6; 7
1990,435,6; 7; 8
1991,418,6; 7
1992,407,7; 6
1993,444,8; 6; 7
1994,394,6; 7; 8
1995,370,6; 8; 7
1996,374,7; 6; 8
1997,371,6; 7; 8
1998,335,6; 7
1999,377,6; 7; 8
2000,377,6; 7
2001,269,7; 6
2002,372,6; 7
2003,303,6; 7
2004,363,6; 7
2005,300,6; 7; 8
2006,375,6; 7; 8
2007,353,6; 7; 8
2008,377,6; 8; 7
2009,476,6; 8; 7
2010,319,6; 8; 7
2011,265,6; 7
2012,293,6; 7
2013,250,7; 6
2014,259,6; 7
2015,188,6; 7
2016,179,6; 7
2017,178,6; 7
2018,149,6; 7
2019,166,6; 7
2021,127,6; 7
2022,133,6; 8
